Word,Phonetic,Meanings,Examples

service,ˈsəːvɪs,"noun - the action of helping or doing work for someone. a system supplying a public need such as transport, communications, or utilities such as electricity and water. verb - perform routine maintenance or repair work on (a vehicle or machine). (of a male animal) mate with (a female animal). ","millions are involved in voluntary service;a regular bus service;ensure that gas appliances are serviced regularly;one dog could presumably service several bitches in a day;"

serving,ˈsəːvɪŋ,"noun - a quantity of food suitable for or served to one person. ","a large serving of spaghetti;"
serve,səːv,"verb - perform duties or services for (another person or an organization). present (food or drink) to someone. deliver (a document such as a summons or writ) in a formal manner to the person to whom it is addressed. be of use in achieving or satisfying. (in tennis and other racket sports) hit the ball or shuttlecock to begin play for each point of a game. bind (a rope) with thin cord to protect or strengthen it. operate (a gun). ","Malcolm has served the church very faithfully;they serve wine instead of beer;he said his lawyer would serve a writ to the multinational corporation within a week;this book will serve a useful purpose;he tossed the ball up to serve;null;before long Lodge was the only man in his section able to serve the guns;"

servitude,ˈsəːvɪtjuːd,"noun - the state of being a slave or completely subject to someone more powerful. the subjection of property to an easement. ","you've got thousands of years of peasant servitude to make up for;null;"

set,sɛt,"verb - put, lay, or stand (something) in a specified place or position. put or bring into a specified state. adjust (a clock or watch), typically to show the right time. harden into a solid or semi-solid state. (of the sun, moon, or another celestial body) appear to move towards and below the earth's horizon as the earth rotates. (of a tide or current) take or have a specified direction or course. start (a fire). (of blossom or a tree) form into or produce (fruit). sit. ","Delaney set the mug of tea down;the Home Secretary set in motion a review of the law;set your watch immediately to local time at your destination;cook for a further thirty-five minutes until the filling has set;the sun was setting and a warm red glow filled the sky;a fair tide can be carried well past Land's End before the stream sets to the north;the school had been broken into and the fire had been set;wait until first flowers have set fruit before planting out the peppers;the rest of them people just set there goggle-eyed for a minute;"
set,sɛt,"noun - a group or collection of things that belong together or resemble one another or are usually found together. the way in which something is set, disposed, or positioned. a radio or television receiver. a collection of scenery, stage furniture, and other articles used for a particular scene in a play or film. an arrangement of the hair when damp so that it dries in the required style. a cutting, young plant, or bulb used in the propagation of new plants. the last coat of plaster on a wall. the amount of spacing in type controlling the distance between letters. variant spelling of sett. another term for plant (sense 4 of the noun). verb - group (pupils or students) in sets according to ability. ","a set of false teeth;the shape and set of the eyes;a TV set;null;a shampoo and set;null;null;null;null;null;null;"
set,sɛt,"adjective - fixed or arranged in advance. ready, prepared, or likely to do something. ","try to feed the puppy at set times each day;the first family was set for a quiet night of rest;"
sett,sɛt,"noun - the den or burrow of a badger. a granite paving block. the particular pattern of stripes in a tartan. ","null;null;null;"

setting,ˈsɛtɪŋ,"noun - the place or type of surroundings where something is positioned or where an event takes place. a piece of metal in which a precious stone or gem is fixed to form a piece of jewellery. a piece of vocal or choral music composed for particular words. short for place setting. a speed, height, or temperature at which a machine or device can be adjusted to operate. ","a romantic house in a wonderful setting beside the River Wye;a garnet in a heavy gold setting;a setting of Yevtushenko's bleak poem;null;if you find the room getting too hot, check the thermostat setting;"
set,sɛt,"verb - put, lay, or stand (something) in a specified place or position. put or bring into a specified state. adjust (a clock or watch), typically to show the right time. harden into a solid or semi-solid state. (of the sun, moon, or another celestial body) appear to move towards and below the earth's horizon as the earth rotates. (of a tide or current) take or have a specified direction or course. start (a fire). (of blossom or a tree) form into or produce (fruit). sit. ","Delaney set the mug of tea down;the Home Secretary set in motion a review of the law;set your watch immediately to local time at your destination;cook for a further thirty-five minutes until the filling has set;the sun was setting and a warm red glow filled the sky;a fair tide can be carried well past Land's End before the stream sets to the north;the school had been broken into and the fire had been set;wait until first flowers have set fruit before planting out the peppers;the rest of them people just set there goggle-eyed for a minute;"
set,sɛt,"verb - group (pupils or students) in sets according to ability. ","null;"

settle,ˈsɛt(ə)l,"verb - resolve or reach an agreement about (an argument or problem). pay (a debt or account). adopt a more steady or secure style of life, especially in a permanent job and home. sit or come to rest in a comfortable position. ","the unions have settled their year-long dispute with Hollywood producers;his bill was settled by charge card;one day I will settle down and raise a family;he settled into an armchair;"
settle,ˈsɛt(ə)l,"noun - a wooden bench with a high back and arms, typically incorporating a box under the seat. ","null;"

settle,ˈsɛt(ə)l,"verb - resolve or reach an agreement about (an argument or problem). pay (a debt or account). adopt a more steady or secure style of life, especially in a permanent job and home. sit or come to rest in a comfortable position. ","the unions have settled their year-long dispute with Hollywood producers;his bill was settled by charge card;one day I will settle down and raise a family;he settled into an armchair;"

settle,ˈsɛt(ə)l,"verb - resolve or reach an agreement about (an argument or problem). pay (a debt or account). adopt a more steady or secure style of life, especially in a permanent job and home. sit or come to rest in a comfortable position. ","the unions have settled their year-long dispute with Hollywood producers;his bill was settled by charge card;one day I will settle down and raise a family;he settled into an armchair;"
settle,ˈsɛt(ə)l,"noun - a wooden bench with a high back and arms, typically incorporating a box under the seat. ","null;"

settle,ˈsɛt(ə)l,"verb - resolve or reach an agreement about (an argument or problem). pay (a debt or account). adopt a more steady or secure style of life, especially in a permanent job and home. sit or come to rest in a comfortable position. ","the unions have settled their year-long dispute with Hollywood producers;his bill was settled by charge card;one day I will settle down and raise a family;he settled into an armchair;"

seven,ˈsɛv(ə)n,"number - equivalent to the sum of three and four; one more than six, or three less than ten; 7. ","two sevens are fourteen;"

seventeen,sɛv(ə)nˈtiːn,"number - one more than sixteen, or seven more than ten; 17. ","seventeen years later;"

seventy,ˈsɛv(ə)nti,"number - the number equivalent to the product of seven and ten; ten less than eighty; 70. ","about seventy people attended;"

several,ˈsɛv(ə)r(ə)l,"determiner - more than two but not many. adjective - separate or respective. ","the author of several books;null;"

severe,sɪˈvɪə,"adjective - (of something bad or undesirable) very great; intense. (of punishment of a person) strict or harsh. very plain in style or appearance. ","a severe shortage of technicians;the charges would have warranted a severe sentence;she wore another severe suit, grey this time;"

severed,ˈsɛvəd,"adjective - having been cut or sliced off. ","severed limbs;"
sever,ˈsɛvə,"verb - divide by cutting or slicing, especially suddenly and forcibly. ","the head was severed from the body;"

severely,sɪˈvɪəli,"adverb - to an undesirably great or intense degree. strictly or harshly. in a very plain style. ","our business has been severely affected by the slowdown;the culprits will be severely punished;her hair was severely pulled back into a bun;"

sew,səʊ,"verb - join, fasten, or repair (something) by making stitches with a needle and thread or a sewing machine. ","she sewed the seams and hemmed the border;"

shabby,ˈʃabi,"adjective - in poor condition through long use or lack of care. (of behaviour) mean and unfair. ","a conscript in a shabby uniform saluted the car;Snooping, was he? That's a shabby trick;"

shade,ʃeɪd,"noun - comparative darkness and coolness caused by shelter from direct sunlight. a colour, especially with regard to how light or dark it is or as distinguished from one nearly like it. a lampshade. a ghost. verb - screen from direct light. darken or colour (an illustration or diagram) with parallel pencil lines or a block of colour. narrowly win or gain an advantage in (a contest). make a slight reduction in the amount, rate, or price of. ","sitting in the shade;various shades of blue;a small lamp with a crimson shade;the ghost is the shade of Lucy Walters, first mistress of Charles II;she shaded her eyes against the sun;she shaded in the outline of a chimney;the Welsh side shaded a tight, tough first half;banks may shade the margin over base rate they charge customers;"

shade,ʃeɪd,"noun - comparative darkness and coolness caused by shelter from direct sunlight. a lampshade. a ghost. verb - screen from direct light. darken or colour (an illustration or diagram) with parallel pencil lines or a block of colour. narrowly win or gain an advantage in (a contest). make a slight reduction in the amount, rate, or price of. ","sitting in the shade;a small lamp with a crimson shade;the ghost is the shade of Lucy Walters, first mistress of Charles II;she shaded her eyes against the sun;she shaded in the outline of a chimney;the Welsh side shaded a tight, tough first half;banks may shade the margin over base rate they charge customers;"

shading,ˈʃeɪdɪŋ,"noun - the darkening or colouring of an illustration or diagram with parallel lines or a block of colour. a very slight variation. a layer of paint or material used to provide shade, especially for plants. ","scenes can be given perspective by colour and shading;the shadings of opinion even among those who are in broad agreement;liquid greenhouse shading;"
shade,ʃeɪd,"verb - screen from direct light. darken or colour (an illustration or diagram) with parallel pencil lines or a block of colour. narrowly win or gain an advantage in (a contest). make a slight reduction in the amount, rate, or price of. ","she shaded her eyes against the sun;she shaded in the outline of a chimney;the Welsh side shaded a tight, tough first half;banks may shade the margin over base rate they charge customers;"

shadow,ˈʃadəʊ,"noun - a dark area or shape produced by a body coming between rays of light and a surface. used in reference to proximity, ominous oppressiveness, or sadness and gloom. an inseparable attendant or companion. short for eyeshadow. verb - envelop in shadow; cast a shadow over. follow and observe (someone) closely and secretly. ","trees cast long shadows;the shadow of war fell across Europe;her faithful shadow, a Yorkshire terrier called Heathcliffe;null;the market is shadowed by St Margaret's church;he had been up all night shadowing a team of poachers;"

shadow,ˈʃadəʊ,"noun - a dark area or shape produced by a body coming between rays of light and a surface. used in reference to proximity, ominous oppressiveness, or sadness and gloom. an inseparable attendant or companion. short for eyeshadow. verb - envelop in shadow; cast a shadow over. follow and observe (someone) closely and secretly. ","trees cast long shadows;the shadow of war fell across Europe;her faithful shadow, a Yorkshire terrier called Heathcliffe;null;the market is shadowed by St Margaret's church;he had been up all night shadowing a team of poachers;"

shag,ʃaɡ,"noun - a carpet or rug with a long, rough pile. a thick, tangled hairstyle or mass of hair. a coarse kind of cut tobacco. ","wall-to-wall shag carpet;her hair was cut short in a boyish shag;null;"
shag,ʃaɡ,"noun - a western European and Mediterranean cormorant with greenish-black plumage and a long curly crest in the breeding season. ","null;"
shag,ʃaɡ,"noun - a dance originating in the US in the 1930s and 1940s, characterized by vigorous hopping from one foot to the other. ","null;"
shag,ʃaɡ,"verb - chase or catch (fly balls) for practice. ","you run down to the field and hit a few baseballs and shag a few fly balls;"
shag,ʃaɡ,"verb - have sex with (someone). noun - an act of having sex. ","null;null;"

shake,ʃeɪk,"verb - (of a structure or area of land) tremble or vibrate. move (an object) up and down or from side to side with rapid, forceful, jerky movements. upset the composure or confidence of; shock or astonish. successfully deal with or recover from (an illness, injury, or negative feeling). noun - an act of shaking. a fit of trembling or shivering. a milkshake. an earth tremor. a trill. a kind of rough wooden shingle, used especially on rustic buildings. ","buildings shook in Sacramento and tremors were felt in Reno;she stood in the hall and shook her umbrella;rumours of a further loss shook the market;I couldn't shake the feeling that everyone was laughing at me;she gave her red curls a shake;I wouldn't go in there, it gives me the shakes;don't miss the homemade cookies and shakes;null;null;cedar shakes;"

shake,ʃeɪk,"verb - (of a structure or area of land) tremble or vibrate. move (an object) up and down or from side to side with rapid, forceful, jerky movements. upset the composure or confidence of; shock or astonish. successfully deal with or recover from (an illness, injury, or negative feeling). ","buildings shook in Sacramento and tremors were felt in Reno;she stood in the hall and shook her umbrella;rumours of a further loss shook the market;I couldn't shake the feeling that everyone was laughing at me;"

shake,ʃeɪk,"verb - (of a structure or area of land) tremble or vibrate. move (an object) up and down or from side to side with rapid, forceful, jerky movements. upset the composure or confidence of; shock or astonish. successfully deal with or recover from (an illness, injury, or negative feeling). ","buildings shook in Sacramento and tremors were felt in Reno;she stood in the hall and shook her umbrella;rumours of a further loss shook the market;I couldn't shake the feeling that everyone was laughing at me;"

shall,ʃal,"verb - (in the first person) expressing the future tense. expressing a strong assertion or intention. expressing an instruction, command, or obligation. used in questions indicating offers or suggestions. ","this time next week I shall be in Scotland;they shall succeed;every employer shall take all practicable steps to ensure the safety of employees;shall I send you the book?;"

shamefaced,ʃeɪmˈfeɪst,"adjective - feeling or expressing shame or embarrassment. ","all the boys looked shamefaced;"

shamefully,ˈʃeɪmfʊli,"adverb - in a manner worthy of or causing shame or disgrace. ","the gardens were shamefully neglected;"

shan't,ʃɑːnt,"contraction - shall not. ","we shan't be gone long;"

shape,ʃeɪp,"noun - the external form, contours, or outline of someone or something. a geometric figure such as a square, triangle, or rectangle. the correct or original form or contours of something. the specified condition or state of someone or something. verb - give a particular shape or form to. (of a sports player or athlete) take up a stance or set oneself to perform a particular action. ","she liked the shape of his nose;null;her skirt had lost its shape long ago;the company came through a difficult period in excellent financial shape;most caves are shaped by the flow of water through limestone;I had plenty of time and shaped to kick to the near touchline;"
SHAPE,ʃeɪp,"abbreviation - Supreme Headquarters Allied Powers Europe. ","null;"

shaped,ʃeɪpt,"adjective - having a defined external form or outline. ","an enclosed back garden with a shaped lawn;"
shape,ʃeɪp,"verb - give a particular shape or form to. (of a sports player or athlete) take up a stance or set oneself to perform a particular action. ","most caves are shaped by the flow of water through limestone;I had plenty of time and shaped to kick to the near touchline;"

shapeless,ˈʃeɪpləs,"adjective - (especially of a garment) lacking a distinctive or attractive shape. ","she wore a shapeless frock and no make-up;"

share,ʃɛː,"noun - a part or portion of a larger amount which is divided among a number of people, or to which a number of people contribute. one of the equal parts into which a company's capital is divided, entitling the holder to a proportion of the profits. an instance of posting or reposting something on a social media website or application. verb - have a portion of (something) with another or others. ","under the proposals, investors would pay a greater share of the annual fees required;he's selling his shares in BT;there have been 25,000 shares on Twitter and 117 likes on Facebook as of 7:30 p.m.;he shared the pie with her;"
share,ʃɛː,"noun - short for ploughshare. ","null;"

shared,ʃɛːd,"adjective - distributed between members of a group. ","a joint venture with shared profits;"
share,ʃɛː,"verb - have a portion of (something) with another or others. ","he shared the pie with her;"

share,ʃɛː,"verb - have a portion of (something) with another or others. ","he shared the pie with her;"

sharp,ʃɑːp,"adjective - (of an object) having an edge or point that is able to cut or pierce something. producing a sudden, piercing physical sensation or effect. distinct in outline or detail; clearly defined. (of an action or change) sudden and marked. having or showing speed of perception, comprehension, or response. (of musical sound) above true or normal pitch. (of clothes or their wearer) smart and stylish. adverb - precisely (used after an expression of time). in a sudden or abrupt way. above the true or normal pitch of musical sound. noun - a musical note raised a semitone above natural pitch. a long, sharply pointed needle used for general sewing. a swindler or cheat. verb - raise the pitch of (a note) by a semitone. cheat or swindle (someone), especially at cards. ","cut the cake with a very sharp knife;I suddenly felt a sharp pain in my back;the job was a sharp contrast from her past life;there was a sharp increase in interest rates;her sharp eyes missed nothing;null;they were greeted by a young man in a sharp suit;the meeting starts at 7.30 sharp;turn sharp right at the corner;he heard him playing a little sharp on the high notes;null;null;null;if you raise a note by one fret, you have sharped the note;the fellow is drunk, let's sharp him;"

sharpen,ˈʃɑːp(ə)n,"verb - make or become sharp or sharper. improve or cause to improve. raise the pitch of (a note) by a semitone. ","she sharpened her pencil;they've got to sharpen up in front of the goal;null;"

sharply,ˈʃɑːpli,"adverb - with a sharp or steeply tapering edge or point. with a sudden, piercing physical sensation or effect; intensely. in a way that is distinct in outline or detail; clearly. with a sudden and marked change; dramatically. with speed of perception, comprehension, or response. ","a sharply pointed tail;my mouth stings sharply;the waitress had a sharply defined jaw;housing values have risen sharply;a sharply observed account;"

shattered,ˈʃatəd,"adjective - very upset. exhausted. ","he was said to be absolutely shattered after losing his job;I usually feel too shattered to do more than crawl into bed;"
shatter,ˈʃatə,"verb - break or cause to break suddenly and violently into pieces. upset (someone) greatly. ","bullets riddled the bar top, glasses shattered, bottles exploded;everyone was shattered by the news;"

shave,ʃeɪv,"verb - (of a man) cut the hair off the face with a razor. cut (a thin slice or slices) from the surface of something. pass or send something close to (something else), missing it narrowly. noun - an act of shaving hair from the face or a part of the body. ","he washed, shaved, and had breakfast;scrape a large sharp knife across the surface, shaving off rolls of very fine chocolate;Scott shaved the post in the 29th minute;you need a shave;"

shaving,ˈʃeɪvɪŋ,"noun - a thin strip cut off a surface. the action of shaving. ","she brushed wood shavings from her knees;shaving foam;"
shave,ʃeɪv,"verb - (of a man) cut the hair off the face with a razor. cut (a thin slice or slices) from the surface of something. pass or send something close to (something else), missing it narrowly. ","he washed, shaved, and had breakfast;scrape a large sharp knife across the surface, shaving off rolls of very fine chocolate;Scott shaved the post in the 29th minute;"

shawl,ʃɔːl,"noun - a piece of fabric worn by women over the shoulders or head or wrapped round a baby. ","null;"

she,ʃiː,"pronoun - used to refer to a woman, girl, or female animal previously mentioned or easily identified. noun - a female; a woman. ","my sister told me that she was not happy;is that a he or a she?;"

shed,ʃɛd,"noun - a simple roofed structure used for garden storage, to shelter animals, or as a workshop. verb - park (a vehicle) in a depot. ","a bicycle shed;the buses were temporarily shedded in that depot;"
shed,ʃɛd,"verb - (of a tree or other plant) allow (leaves or fruit) to fall to the ground. discard (something undesirable, superfluous, or outdated). cast or give off (light). accidentally allow (something) to fall off or spill. eliminate part of (an electrical power load) by disconnecting circuits. ","both varieties shed leaves in winter;many firms use relocation as an opportunity to shed jobs;the full moon shed a watery light on the scene;a lorry shed its load of steel bars;null;"

sheep,ʃiːp,"noun - a domesticated ruminant mammal with a thick woolly coat and (typically only in the male) curving horns. It is kept in flocks for its wool or meat, and is proverbial for its tendency to follow others in the flock. used with reference to people who are too easily influenced or led. a person regarded as a protected follower of God. ","null;party members should not follow their leader like sheep;null;"

sheer,ʃɪə,"adjective - nothing other than; unmitigated (used for emphasis). (especially of a cliff or wall) perpendicular or nearly so. (of a fabric) very thin; diaphanous. adverb - perpendicularly. completely; right. noun - a very fine or diaphanous fabric or article. ","she giggled with sheer delight;the sheer ice walls;sheer white silk chiffon;the ridge fell sheer, in steep crags;she went sheer forward when the door was open;I put up the new curtains and sheers;"
sheer,ʃɪə,"verb - (typically of a boat) swerve or change course quickly. noun - a sudden deviation from a course, especially by a boat. ","the boat sheered off to beach further up the coast;null;"
sheer,ʃɪə,"noun - the upward slope of a ship's lines towards the bow and stern. ","null;"

sheet,ʃiːt,"noun - a large rectangular piece of cotton or other fabric, used on a bed to cover the mattress and as a layer beneath blankets when these are used. a rectangular piece of paper, especially one of a standard size produced commercially and used for writing and printing on. a broad flat piece of material such as metal or glass. an extensive unbroken surface area of something. verb - cover with or wrap in a sheet of cloth. (of rain) fall in large quantities. ","null;a sheet of unmarked paper;the small pipe has been formed from a flat sheet of bronze;Loch Affric is a lovely sheet of water among trees;lorry drivers don't sheet their loads;rain sheeted down;"
sheet,ʃiːt,"noun - a rope attached to the lower corner of a sail for securing or extending the sail or for altering its direction. the space at the bow or stern of an open boat. verb - make a sail more or less taut. ","null;null;notice also how he is sheeting in the sail;"

sheet,ʃiːt,"noun - a large rectangular piece of cotton or other fabric, used on a bed to cover the mattress and as a layer beneath blankets when these are used. a rectangular piece of paper, especially one of a standard size produced commercially and used for writing and printing on. a broad flat piece of material such as metal or glass. an extensive unbroken surface area of something. verb - cover with or wrap in a sheet of cloth. (of rain) fall in large quantities. ","null;a sheet of unmarked paper;the small pipe has been formed from a flat sheet of bronze;Loch Affric is a lovely sheet of water among trees;lorry drivers don't sheet their loads;rain sheeted down;"
sheet,ʃiːt,"noun - a rope attached to the lower corner of a sail for securing or extending the sail or for altering its direction. the space at the bow or stern of an open boat. verb - make a sail more or less taut. ","null;null;notice also how he is sheeting in the sail;"

shelf,ʃɛlf,"noun - a flat length of wood or other rigid material, attached to a wall or forming part of a piece of furniture, that provides a surface for the storage or display of objects. a ledge of rock or protruding strip of land. ","null;null;"
shelf,ʃɛlf,"noun - an informer. verb - inform on (someone). ","null;he never shelfed a man in his life;"

shelter,ˈʃɛltə,"noun - a place giving temporary protection from bad weather or danger. a shielded or safe condition; protection. verb - protect or shield from something harmful, especially bad weather. ","huts like this are used as a shelter during the winter;he hung back in the shelter of a rock;the hut sheltered him from the cold wind;"

shelf,ʃɛlf,"noun - a flat length of wood or other rigid material, attached to a wall or forming part of a piece of furniture, that provides a surface for the storage or display of objects. a ledge of rock or protruding strip of land. ","null;null;"
shelve,ʃɛlv,"verb - place or arrange (items, especially books) on a shelf. decide not to proceed with (a project or plan), either temporarily or permanently. fit with shelves. ","we had catalogued and shelved all the books shipped in that day;plans to reopen the school have been shelved;one whole long wall was shelved;"
shelve,ʃɛlv,"verb - (of ground) slope downwards in a specified manner or direction. ","the ground shelved gently down to the water;"

Sherlock,ˈʃəːlɒk,"noun - a person who investigates mysteries or shows great perceptiveness. ","it doesn't take a Sherlock to figure out that she's lying to me;"

sherry,ˈʃɛri,"noun - a fortified wine originally and mainly from southern Spain. ","a bottle of dry sherry;"

shift,ʃɪft,"verb - move or cause to move from one place to another, especially over a small distance. change gear in a vehicle. be evasive or indirect. noun - a slight change in position, direction, or tendency. each of two or more recurring periods in which different groups of workers do the same jobs in relay. a woman's straight unwaisted dress. an ingenious or devious device or stratagem. ","a team from the power company came to shift the cables away from the house;she shifted down to fourth;they know not how to shift and rob as the old ones do;a shift in public opinion;Anne was on the night shift;null;the thousand shifts and devices of which Hannibal was a master;"

shilling,ˈʃɪlɪŋ,"noun - a former British coin and monetary unit equal to one twentieth of a pound or twelve pence. the basic monetary unit in Kenya, Tanzania, and Uganda, equal to 100 cents. ","null;null;"
shill,ʃɪl,"verb - act or work as a shill. ","your husband in the crowd could shill for you;"

shilling,ˈʃɪlɪŋ,"noun - a former British coin and monetary unit equal to one twentieth of a pound or twelve pence. the basic monetary unit in Kenya, Tanzania, and Uganda, equal to 100 cents. ","null;null;"

shimmering,ˈʃɪmərɪŋ,"adjective - shining with a soft, slightly wavering light. ","the shimmering waters of Lake Como;"
shimmer,ˈʃɪmə,"verb - shine with a soft, slightly wavering light. ","the sea shimmered in the sunlight;"

shining,ˈʃʌɪnɪŋ,"adjective - giving out or reflecting bright light. brilliant or excellent at something. ","a shining expanse of water;he has set a shining example with his model behaviour;"
shine,ʃʌɪn,"verb - (of the sun or another source of light) give out a bright light. direct (a torch or other light) somewhere in order to see something in the dark. be very talented or perform very well. make (an object made of leather, metal, or wood) bright by rubbing it; polish. ","the sun shone through the window;he shone the torch around the room before entering;a boy who shone at nothing;his shoes were shined to perfection;"

shiny,ˈʃʌɪni,"adjective - (of a smooth surface) reflecting light, typically because very clean or polished. ","shiny hair;"

ship,ʃɪp,"noun - a large boat for transporting people or goods by sea. a spaceship. an aircraft. verb - transport (goods or people) on a ship. (of a boat) take in (water) over the side. take (oars) from the rowlocks and lay them inside a boat. ","the ship left England with a crew of 36;null;null;the wounded soldiers were shipped home;null;null;"
ship,ʃɪp,"noun - a romantic pairing between two characters in a fictional series, often one that is supported or portrayed by fans rather than depicted in the series itself. verb - support or have a particular interest in a romantic pairing between two characters in a fictional series, often when this relationship is one portrayed by fans rather than depicted in the series itself. ","the thing that I loved about the Mulder/Scully ship was that we knew so much about their characters;I'm still shipping for Edward/Hermione;"
-ship,ʃɪp,"suffix - forming nouns denoting a quality or condition. forming nouns denoting status, office, or honour. forming nouns denoting a skill in a certain capacity. forming nouns denoting the collective individuals of a group. ","companionship;ambassadorship;workmanship;membership;"

shipping,ˈʃɪpɪŋ,"noun - ships considered collectively, especially those in a particular area or belonging to a particular country. ","the volume of shipping using these ports;"
ship,ʃɪp,"verb - transport (goods or people) on a ship. (of a boat) take in (water) over the side. take (oars) from the rowlocks and lay them inside a boat. ","the wounded soldiers were shipped home;null;null;"
ship,ʃɪp,"verb - support or have a particular interest in a romantic pairing between two characters in a fictional series, often when this relationship is one portrayed by fans rather than depicted in the series itself. ","I'm still shipping for Edward/Hermione;"

ship,ʃɪp,"noun - a large boat for transporting people or goods by sea. a spaceship. an aircraft. verb - transport (goods or people) on a ship. (of a boat) take in (water) over the side. take (oars) from the rowlocks and lay them inside a boat. ","the ship left England with a crew of 36;null;null;the wounded soldiers were shipped home;null;null;"
ship,ʃɪp,"noun - a romantic pairing between two characters in a fictional series, often one that is supported or portrayed by fans rather than depicted in the series itself. verb - support or have a particular interest in a romantic pairing between two characters in a fictional series, often when this relationship is one portrayed by fans rather than depicted in the series itself. ","the thing that I loved about the Mulder/Scully ship was that we knew so much about their characters;I'm still shipping for Edward/Hermione;"

shipwreck,ˈʃɪprɛk,"noun - the destruction of a ship at sea by sinking or breaking up, for example in a storm or after striking a rock. verb - (of a person or ship) suffer a shipwreck. ","these islands have a history of shipwrecks and smuggling;the English envoy was shipwrecked off the coast of Sardinia and nearly drowned;"

shirt,ʃəːt,"noun - a garment for the upper body made of cotton or a similar fabric, with a collar and sleeves, and with buttons down the front. ","tonight he's smartly dressed in shirt and tie;"

shock,ʃɒk,"noun - a sudden upsetting or surprising event or experience. an acute medical condition associated with a fall in blood pressure, caused by such events as loss of blood, severe burns, allergic reaction, or sudden emotional stress, and marked by cold, pallid skin, irregular breathing, rapid pulse, and dilated pupils. a violent shaking movement caused by an impact, explosion, or tremor. short for shock absorber. verb - cause (someone) to feel surprised and upset. affect with physiological shock, or with an electric shock. collide violently. ","it was a shock to face such hostile attitudes;he died of shock due to massive abdominal haemorrhage;earthquake shocks;null;she was shocked at the state of his injuries;if a patient is deeply shocked, measurement of blood pressure may be difficult;carriage after carriage shocked fiercely against the engine;"
shock,ʃɒk,"noun - a group of twelve sheaves of grain placed upright and supporting each other to allow the grain to dry and ripen. verb - arrange (sheaves of grain) in a shock. ","null;the grain is shocked in the field after it is cut;"
shock,ʃɒk,"noun - an unkempt or thick mass of hair. ","a man with a shock of ginger hair;"

shock,ʃɒk,"verb - cause (someone) to feel surprised and upset. affect with physiological shock, or with an electric shock. collide violently. ","she was shocked at the state of his injuries;if a patient is deeply shocked, measurement of blood pressure may be difficult;carriage after carriage shocked fiercely against the engine;"
shock,ʃɒk,"verb - arrange (sheaves of grain) in a shock. ","the grain is shocked in the field after it is cut;"

shoe,ʃuː,"noun - a covering for the foot, typically made of leather, having a sturdy sole and not reaching above the ankle. something resembling a shoe in shape or use. verb - fit (a horse) with a shoe or shoes. protect (the end of an object such as a pole) with a metal shoe. ","null;null;they are waiting to have their horses shod;the four wooden baulks were each shod with heavy iron heads;"

shine,ʃʌɪn,"verb - (of the sun or another source of light) give out a bright light. direct (a torch or other light) somewhere in order to see something in the dark. be very talented or perform very well. make (an object made of leather, metal, or wood) bright by rubbing it; polish. ","the sun shone through the window;he shone the torch around the room before entering;a boy who shone at nothing;his shoes were shined to perfection;"

shook,ʃʊk,"verb - past of shake. adjective - emotionally or physically disturbed; upset. keen on; enthusiastic about. ","null;she looks pretty shook up from the letter;those stories you read about where two blokes get shook on the same sheila;"
shook,ʃʊk,"noun - a set of components ready for assembly into a box or cask. ","null;"
shake,ʃeɪk,"verb - (of a structure or area of land) tremble or vibrate. move (an object) up and down or from side to side with rapid, forceful, jerky movements. upset the composure or confidence of; shock or astonish. successfully deal with or recover from (an illness, injury, or negative feeling). ","buildings shook in Sacramento and tremors were felt in Reno;she stood in the hall and shook her umbrella;rumours of a further loss shook the market;I couldn't shake the feeling that everyone was laughing at me;"

shooting,ˈʃuːtɪŋ,"noun - the action or practice of shooting with a gun. the action of filming or photographing a scene, film, etc. adjective - moving or growing quickly. ","the events that led up to the shooting of the man;the shooting of a music video;shooting beams of light played over the sea;"
shoot,ʃuːt,"verb - kill or wound (a person or animal) with a bullet or arrow. move suddenly and rapidly in a particular direction. (in soccer, hockey, basketball, etc.) kick, hit, or throw the ball or puck in an attempt to score a goal. film or photograph (a scene, film, etc.). (of a plant or seed) send out buds or shoots; germinate. inject oneself or another person with (a narcotic drug). plane (the edge of a board) accurately. ","he was shot in the leg during an armed robbery;the car shot forward;Williams twice shot wide;she has just been commissioned to shoot a video;some years one or other plant fails to shoot;he shot dope into his arm;I shot the longer edge down on the planer;"

shop,ʃɒp,"noun - a building or part of a building where goods or services are sold. a place where things are manufactured or repaired; a workshop. verb - visit one or more shops or websites to buy goods. inform on (someone). alter (a photographic image) digitally using Photoshop image-editing software. ","a video shop;an auto repair shop;she shopped for groceries twice a week;she shopped her husband to bosses for taking tools home;I reckon you shopped the image;"

shop,ʃɒp,"noun - a building or part of a building where goods or services are sold. a place where things are manufactured or repaired; a workshop. verb - visit one or more shops or websites to buy goods. inform on (someone). alter (a photographic image) digitally using Photoshop image-editing software. ","a video shop;an auto repair shop;she shopped for groceries twice a week;she shopped her husband to bosses for taking tools home;I reckon you shopped the image;"

